freq,currency,nace_r2,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,MIO_EUR,A,DE27	: 	: 	: 	: 	: 	286.24 	273.18 	288.49 	252.01 	248.51 	284.5 	363.43 	317.42 	363.4 	323.37 	282.94 	367.1 	337.71 	372.43 	394.49 	358.33 	385.58 	402.68 	460.46 	496.04 	: 
A,MIO_EUR,A,DE3	: 	: 	: 	: 	: 	2.73 	2.63 	2.02 	2.06 	2.04 	2.93 	3.1 	5.33 	3.66 	20.42 	5.1 	6.79 	5.58 	3.46 	3.27 	7.5 	6.15 	5.82 	6.51 	10.31 	: 
A,MIO_EUR,A,DE30	: 	: 	: 	: 	: 	2.73 	2.63 	2.02 	2.06 	2.04 	2.93 	3.1 	5.33 	3.66 	20.42 	5.1 	6.79 	5.58 	3.46 	3.27 	7.5 	6.15 	5.82 	6.51 	10.31 	: 
A,MIO_EUR,A,DE4	: 	: 	: 	: 	: 	253.43 	287.88 	269.85 	201.8 	253.53 	322.5 	363.72 	372.34 	462.29 	391.18 	321.7 	366 	368.96 	418.1 	433.82 	405.06 	348.55 	329.96 	360.91 	327.57 	: 
A,MIO_EUR,A,DE40	: 	: 	: 	: 	: 	253.43 	287.88 	269.85 	201.8 	253.53 	322.5 	363.72 	372.34 	462.29 	391.18 	321.7 	366 	368.96 	418.1 	433.82 	405.06 	348.55 	329.96 	360.91 	327.57 	: 
A,MIO_EUR,A,DE5	: 	: 	: 	: 	: 	11.19 	23.5 	11.08 	8.99 	9.31 	11.27 	12.51 	9.09 	10.16 	4.44 	4.35 	4.94 	9.5 	8.8 	10.61 	8.57 	8.43 	6.92 	5.04 	5.48 	: 
A,MIO_EUR,A,DE50	: 	: 	: 	: 	: 	11.19 	23.5 	11.08 	8.99 	9.31 	11.27 	12.51 	9.09 	10.16 	4.44 	4.35 	4.94 	9.5 	8.8 	10.61 	8.57 	8.43 	6.92 	5.04 	5.48 	: 
A,MIO_EUR,A,DE6	: 	: 	: 	: 	: 	19.33 	19.08 	18 	19.78 	17.34 	29.53 	39.8 	28.44 	29.48 	27.55 	23.43 	31.54 	27.37 	25.19 	24.77 	25.94 	27.93 	28.58 	24.63 	33.48 	: 
A,MIO_EUR,A,DE60	: 	: 	: 	: 	: 	19.33 	19.08 	18 	19.78 	17.34 	29.53 	39.8 	28.44 	29.48 	27.55 	23.43 	31.54 	27.37 	25.19 	24.77 	25.94 	27.93 	28.58 	24.63 	33.48 	: 
A,MIO_EUR,A,DE7	: 	: 	: 	: 	: 	283.88 	311.54 	284.53 	253.29 	227.61 	266.29 	373.75 	327.26 	361.92 	351.75 	311.05 	388.77 	340.22 	369.88 	363.47 	385.73 	390.67 	359.32 	359.47 	376.55 	: 
